Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
Jun 28,LAA,CHW,L4-11,CG,4,3,1,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,.268,.351,.511,.862,3,.33,0.129,.18,0.04%,2.34,28.00,37.20,DH
Jun 29,LAA,CHW,W4-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.265,.350,.505,.855,3,.47,0.002,.22,0.00%,-0.12,2.00,3.00,DH P
Jul 1,LAA,HOU,L1-8,CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.266,.350,.514,.864,3,.20,0.101,.11,0.03%,0.69,14.00,18.70,DH
Jul 2,LAA,HOU,L1-9,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.345,.507,.852,3,.51,-0.049,.24,-0.01%,-0.83,0.00,0.00,DH
Jul 3,LAA,HOU,L2-4,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.262,.344,.503,.848,3,1.39,0.030,.57,0.01%,0.61,5.00,6.50,DH
Jul 5,LAA,MIA,L1-2,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.259,.343,.498,.842,3,1.79,0.057,.56,0.01%,0.26,7.00,9.00,DH
Jul 6,LAA,MIA,W5-2,CG,5,4,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,.259,.344,.495,.839,3,1.24,0.205,.36,0.04%,1.57,16.00,22.20,DH P
Jul 7,LAA,BAL,L1-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.257,.343,.490,.833,3,.85,-0.023,.31,-0.01%,-0.15,2.00,3.00,DH
Jul 8,LAA,BAL,L4-5,CG,5,5,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,.262,.347,.502,.848,3,.58,0.055,.19,0.01%,0.52,20.00,24.70,DH
Jul 9,LAA,BAL,L0-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.260,.346,.497,.842,3,1.19,-0.094,.34,-0.02%,-0.55,2.00,3.00,DH
Jul 10,LAA,BAL,L5-9,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.256,.342,.491,.832,3,.38,-0.036,.09,-0.01%,-0.68,0.00,0.00,DH
Jul 12,LAA,HOU,L5-6,CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.255,.343,.487,.831,3,1.27,0.024,.22,0.00%,0.21,4.00,6.00,DH
Jul 13,LAA,HOU,W7-1,CG,5,4,1,2,0,1,0,2,1,0,2,0,0,0,0,0,0,0,.258,.347,.494,.841,1,.72,0.178,.10,0.01%,1.94,19.00,25.20,DH P
Jul 14,LAA,HOU,L2-3,CG(10),5,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.258,.350,.492,.843,2,1.27,0.033,.17,0.00%,0.34,9.00,12.20,DH
Jul 15,LAA,LAD,L1-9,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.255,.347,.486,.833,2,.36,-0.036,.05,0.00%,-0.56,0.00,0.00,DH
Jul 16,LAA,LAD,L1-7,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.258,.348,.486,.835,2,.57,0.001,.05,0.00%,1.13,6.00,6.00,DH
Jul 22,LAA,ATL,L1-8,CG,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.256,.347,.482,.829,1,1.10,-0.063,.06,0.00%,-0.46,2.00,3.00,DH P
Jul 23,LAA,ATL,L2-7,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.259,.349,.491,.840,1,.38,0.010,.02,0.00%,0.78,17.00,21.70,DH
Jul 24,LAA,ATL,W9-1,CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.256,.347,.485,.832,1,.35,-0.030,.01,0.00%,-1.13,4.00,6.20,DH
Jul 25,LAA,KCR,L0-7,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.346,.486,.831,1,1.20,-0.099,.06,0.00%,-0.97,5.00,6.00,DH
Jul 26,LAA,KCR,W6-0,CG,5,3,2,1,0,0,1,1,2,1,1,0,0,0,0,0,1,0,.256,.349,.493,.842,1,.79,0.038,.03,0.00%,0.88,25.00,33.90,DH
Jul 27,LAA,KCR,W4-0,CG,5,3,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,.257,.352,.492,.844,1,.70,0.041,.04,0.00%,0.52,9.00,12.50,DH
Jul 28,LAA,TEX,L0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.349,.486,.835,1,1.06,-0.106,.06,0.00%,-0.87,0.00,0.00,DH P
Jul 29,LAA,TEX,L2-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.251,.345,.481,.826,2,1.46,-0.138,.06,0.00%,-0.88,0.00,0.00,DH
Jul 30,LAA,TEX,W9-7,CG,5,4,2,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,.251,.346,.486,.832,1,1.97,0.157,.07,0.00%,1.19,22.00,31.90,DH
Jul 31,LAA,TEX,L2-5,CG,4,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,.255,.352,.495,.847,2,.97,0.132,.04,0.00%,1.10,17.00,21.20,DH
Aug 2,LAA,OAK,W3-1,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.351,.495,.846,2,.42,-0.020,.01,0.00%,-0.40,5.00,6.00,DH
Aug 3,LAA,OAK,L1-3,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.349,.491,.839,2,1.42,-0.149,.04,0.00%,-1.26,0.00,0.00,DH P
Aug 4,LAA,OAK,L7-8,CG,5,5,2,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.258,.352,.508,.859,2,1.26,0.091,.03,0.00%,1.93,31.00,40.40,DH
Aug 5,LAA,SEA,W4-3,CG(10),5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.257,.350,.504,.854,2,.86,-0.026,.02,0.00%,-0.35,3.00,3.00,DH
Aug 6 (1),LAA,SEA,L1-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.347,.499,.845,2,1.13,-0.112,.02,0.00%,-0.84,0.00,0.00,DH
Aug 6 (2),LAA,SEA,W7-1,CG,5,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.253,.345,.495,.840,2,.44,-0.025,.01,0.00%,-0.52,4.00,6.50,DH
Aug 7,LAA,SEA,L3-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.344,.492,.837,2,.54,-0.036,.01,0.00%,-0.33,3.00,3.00,DH
Aug 9,LAA,OAK,W5-1,GS-8,4,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.256,.348,.501,.849,2,.77,0.070,.01,0.00%,1.43,21.00,27.90,DH P
Aug 10,LAA,OAK,W5-4,CG(12),5,4,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.256,.348,.499,.847,2,1.80,-0.094,.03,0.00%,-0.49,5.00,6.00,DH
Aug 12,LAA,MIN,L0-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.253,.345,.494,.839,2,1.04,-0.104,.03,0.00%,-1.18,0.00,0.00,DH
Aug 13,LAA,MIN,W5-3,CG(11),5,4,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.253,.346,.499,.845,2,1.61,-0.034,.03,0.00%,0.63,16.00,21.70,DH
Aug 14,LAA,MIN,W4-2,CG,4,2,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,.254,.349,.499,.848,2,.86,0.099,.02,0.00%,1.23,11.00,15.70,DH
Aug 15,LAA,SEA,L2-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.349,.496,.845,2,1.46,-0.030,.05,0.00%,-0.42,3.00,3.00,DH P
Aug 16,LAA,SEA,L2-8,CG,4,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.259,.352,.504,.855,2,.95,0.105,.02,0.00%,0.96,14.00,15.00,DH
Aug 17,LAA,SEA,L7-11,CG,5,5,2,4,0,1,1,4,0,0,1,0,0,0,0,0,0,0,.265,.356,.519,.875,2,.57,0.064,.01,0.00%,4.10,36.00,47.40,DH
Aug 19,LAA,DET,W1-0,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.263,.356,.515,.871,1,.64,-0.044,.00,0.00%,-0.40,2.00,3.00,DH
Aug 20,LAA,DET,L3-4,CG,4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.266,.357,.517,.874,1,.73,0.029,.00,0.00%,0.49,10.00,12.20,DH
Aug 21,LAA,DET,L0-4,GS-5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.265,.357,.516,.873,3,1.79,-0.017,.01,0.00%,-0.07,2.00,3.00,DH P
Aug 22,LAA,TBR,L1-2,6-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.264,.357,.515,.872,8,2.81,-0.070,.01,0.00%,-0.41,0.00,0.00,PH
Aug 23,LAA,TBR,L1-11,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.356,.514,.870,3,.81,-0.038,.00,0.00%,-0.24,3.00,3.00,DH
Aug 24,LAA,TBR,L3-4,CG(11),5,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.262,.355,.509,.864,3,1.16,-0.019,.00,0.00%,-0.34,4.00,6.20,DH
Aug 25,LAA,TBR,L3-8,CG,4,4,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.262,.354,.509,.863,2,.47,-0.038,.00,0.00%,0.43,9.00,12.70,DH
Aug 26,LAA,TOR,W12-0,CG,5,5,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,.262,.353,.510,.863,3,.64,0.047,.00,0.00%,0.41,14.00,19.20,DH
Aug 27,LAA,TOR,W2-0,CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.260,.354,.508,.861,3,1.36,0.029,.00,0.00%,0.37,4.00,6.00,DH P
Aug 28,LAA,TOR,W8-3,CG,5,4,2,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.265,.358,.516,.874,3,.37,0.084,.00,0.00%,2.13,26.00,34.40,DH
Aug 29,LAA,NYY,W4-3,CG,4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,1,0,0,.267,.359,.523,.882,3,1.05,0.195,.00,0.00%,1.40,19.00,25.20,DH
Aug 30,LAA,NYY,L4-7,CG,4,4,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,.269,.360,.525,.885,3,.38,-0.017,.00,0.00%,-0.02,10.00,12.20,DH
Aug 31,LAA,NYY,W3-2,CG,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.269,.359,.529,.888,3,1.35,0.358,.00,0.00%,1.82,18.00,25.70,DH
Sep 2,LAA,HOU,L2-4,CG,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.268,.360,.526,.886,3,1.47,-0.076,.00,0.00%,-0.33,5.00,6.00,DH
Sep 3,LAA,HOU,W2-1,CG(12),5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.266,.358,.522,.880,3,1.60,-0.115,.00,0.00%,-0.64,2.00,3.00,DH P
